Month,m1.large
201501,35.7709
201502,34.396
201503,35.2249
201504,46.2393
201505,44.4036
201506,41.0473
201507,37.5561
201508,26.6758
201509,25.0044
201510,17.2235
201511,21.7889
201512,23.8187
201601,28.0992
201602,29.2357
201603,32.1344
201604,43.1505
201605,44.4259
201606,38.6312
201607,32.2653
201608,34.8402
201609,25.9655
201610,23.7696
201611,18.9009
201612,12.8192
201701,20.8196
201702,29.5038
201703,35.8682
201704,39.2315
201705,46.9979
201706,44.0014
201707,37.8552
201708,41.0403
201709,29.2411
201710,25.4182
201711,19.957
201712,11.8583
201801,22.3583
201802,21.6046
201803,31.2824
201804,34.6503
201805,44.6238
201806,38.333
201807,47.4585
201808,40.0818
201809,29.08
201810,27.5489
201811,17.7724
201812,16.1624
201901,22.6897
201902,22.0356
201903,23.0995
201904,24.5427
201905,39.3011
201906,42.2501
201907,36.4959
201908,46.0779
201909,41.5371
201910,32.4859
201911,30.7772
201912,24.5854
